id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
883596387767326828,"Sunny, spacious Bozeman home!",95596471,Melanie,,Bozeman,45.69094073517998,-111.08714570376111,Entire home/apt,114,60,0,,,1,219,0,
884064750408569156,Elegant home with Mountain Views,485556286,Barbara,,Bozeman,45.6475576,-111.0683446,Entire home/apt,150,30,1,2024-04-29,0.23,1,327,1,
884106583554500961,Meyers Lake Loft- 2BR Guesthouse,42294252,Ted,,Bozeman,45.6840083,-111.1008377,Entire home/apt,229,3,47,2024-09-02,3.00,1,95,26,STR23-00014
887744083816060888,Bridger View Loft,13164558,Nancy,,Bozeman,45.6827098,-111.0226566,Entire home/apt,275,30,0,,,1,308,0,
888674437339033450,"Sunlit loft with fireplace, AC, and king bed",87352080,Rebeccah,,Bozeman,45.68411,-111.08209,Entire home/apt,199,1,126,2024-08-30,7.92,1,104,93,STR23-00048
894262572544681789,2 bedroom apt in the heart of downtown Bozeman,510216735,Sharon,,Bozeman,45.67738,-111.0384,Entire home/apt,194,2,62,2024-08-09,4.03,2,191,49,STR23-20495
896384642712866578,•Bozeman Basecamp•,161765884,Ben,,Bozeman,45.68947219046836,-111.0719965183994,Entire home/apt,201,2,39,2024-08-19,2.83,1,186,35,STR24-00005
896458716338470845,Camp Coffee,247540892,Shaun,,Bozeman,45.68036,-111.10201,Private room,68,2,21,2024-08-30,1.59,3,16,18,STR23-00050
897144005237382808,The BeAll House,6931340,Indra,,Bozeman,45.68185,-111.03916,Entire home/apt,399,1,23,2024-08-29,1.59,1,342,17,STR22-00066
897810044993822991,Cozy Valley West Studio | Full Kitchen & Laundry,22366054,Tessa,,Bozeman,45.6798384,-111.1002558,Entire home/apt,159,2,19,2024-08-09,1.32,10,335,15,STR24-00003
899125019892212651,Gorgeous Midtown Condo,135567233,Lycurgus,,Bozeman,45.6877567,-111.0472078,Entire home/apt,203,1,121,2024-09-03,8.08,1,245,96,STR23-00155
900813961167761339,"Tips Up Base Camp- 8 beds, 4 bedroom",144447035,Ericka,,Bozeman,45.68748857742729,-111.07127375900745,Entire home/apt,312,2,16,2024-08-11,1.06,1,101,13,STR23-00054
901459145108835199,Downtown Charming & Cozy Casita - 3 BDRM,406871,Erin,,Bozeman,45.67832,-111.04884,Entire home/apt,258,2,18,2024-08-26,1.17,3,303,13,STR23-00164
901660910687906881,Downtown 5-BDRM Charming Historic Home,406871,Erin,,Bozeman,45.67747,-111.04729,Entire home/apt,660,2,16,2024-09-01,1.26,3,296,15,STR23-00164
902288148307344832,Cozy Midtown Home,59049179,Elizabeth,,Bozeman,45.68672,-111.0566,Entire home/apt,,30,19,2024-07-13,1.31,1,0,10,
902924566293075399,Perfect 2 bedroom condo w/garage,231155123,Chad,,Bozeman,45.6901827,-111.1061077,Entire home/apt,137,30,6,2023-10-16,0.45,1,166,3,
902986920561938489,Charming 1890 Bungalow Downtown,23312806,Kim,,Bozeman,45.68197,-111.02798,Entire home/apt,207,3,54,2024-09-01,3.54,1,105,38,STR23-00215
903548737649149837,Bozeman Experience-Walk downtown,94524858,Andy,,Bozeman,45.68017,-111.0419,Entire home/apt,295,3,28,2024-08-31,2.20,1,224,26,STR20-00382
907255410839451666,Stunning Modern Home in the Heart of Bozeman,68940904,The Arrival,,Bozeman,45.67875,-111.02295,Entire home/apt,216,2,18,2024-08-18,1.52,4,84,18,STR23-00075
911796238839021625,Private room in Bozeman,296586159,Mikaela,,Bozeman,45.66567,-111.04033,Private room,,1,31,2024-08-22,2.10,1,59,19,STR23-00234
911899807480757151,Modern getaway,2655634,Charles,,Bozeman,45.68550755865755,-111.0820334404707,Private room,98,1,35,2024-08-30,3.10,1,156,35,STR00-00000
917480337323963603,Winter House - Great home located within walking d,158595657,Mountain Home,,Bozeman,45.683155,-111.03163,Entire home/apt,800,1,17,2024-08-03,1.24,39,317,14,STR23-00065
917521445743830614,2 Adjoining Condos Rent Together,441896318,Payton,,Bozeman,45.67339,-111.11368,Entire home/apt,440,2,8,2024-08-25,0.95,11,288,8,STR23-00130
918106223385876586,Spacious & New Midtown Apartment,5649163,Shannon,,Bozeman,45.69237529999999,-111.0481542,Entire home/apt,134,1,48,2024-07-24,3.31,1,93,37,STR23-00230
919817449271186440,Charming downtown cottage,143544410,Toni,,Bozeman,45.684136,-111.0383747,Entire home/apt,263,2,49,2024-09-02,3.38,2,320,37,STR23-00112
920346275120177072,Stay at a 1950s Classic Motel in Bozeman,521636962,Jacob,,Bozeman,45.682443451580724,-111.04536608095093,Private room,,1,8,2024-04-14,0.84,5,287,8,Exempt
922555122262988509,Experience a classic motel in the heart of Bozeman,521636962,Jacob,,Bozeman,45.682638335167034,-111.04515150422974,Private room,,1,2,2024-04-22,0.14,5,346,1,Exempt
922562743410347446,Stay at a Classic Motor Inn in Bozeman Montana,521636962,Jacob,,Bozeman,45.682638335167034,-111.0451085888855,Private room,,1,37,2024-08-15,2.82,5,340,35,Exempt
922583355688509946,Retro Motel in Bozeman Montana,521636962,Jacob,,Bozeman,45.68254838898078,-111.04528025026245,Private room,,1,37,2024-08-27,3.47,5,351,37,Exempt
923076538132998326,Downtown Dream house,21447984,Sharon,,Bozeman,45.6698914,-111.0442737,Entire home/apt,,4,9,2024-07-28,0.70,3,0,7,Exempt
923290840210101734,Quaint Downtown Studio (4 blocks off Main),143544410,Toni,,Bozeman,45.683846773689886,-111.03925393239558,Entire home/apt,150,1,30,2024-08-21,2.24,2,248,27,STR23-00113
924888237601129082,Downtown Executive Suite,168421505,Courtney,,Bozeman,45.67974766069588,-111.03191270006194,Entire home/apt,280,30,2,2023-10-10,0.16,2,279,1,
940676499307664079,Downtown Garden Getaway-Cozy home near downtown Bo,158595657,Mountain Home,,Bozeman,45.67782,-111.04637,Entire home/apt,400,1,23,2024-08-12,1.90,39,306,23,STR23-00070
942245518568400791,Central location w/Western Flair,94704094,Sheridan,,Bozeman,45.690600193098504,-111.11786825365482,Entire home/apt,314,1,59,2024-09-02,4.84,1,135,59,STR23-00104
943877538830637448,The Cave,233990641,Guy,,Bozeman,45.6989,-111.08679,Private room,64,30,2,2024-08-10,0.16,1,178,1,
945699328478141735,Classic Retro Motel in Bozeman,521636962,Jacob,,Bozeman,45.682593362091986,-111.0451085888855,Private room,,1,1,2024-01-06,0.12,5,329,1,Exempt
947123379140618010,Waters 1Bd Apt in Valley West | King Bd + Laundry,22366054,Tessa,,Bozeman,45.68314592517294,-111.10298592143096,Entire home/apt,207,2,18,2024-07-26,1.46,10,280,17,STR23-00103
