id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6724476,Cozy home near downtown & Biltmore! Sleeps 6-8,20940902,Megan,,28803,35.55572,-82.47593,Entire home/apt,160,2,303,2024-05-23,2.76,1,278,29,
6760016,"Bright, urban chic apt min from Avl",35390402,Elisa,,28704,35.44942,-82.50745,Entire home/apt,98,2,164,2022-07-24,1.50,1,108,0,
6765734,"Female Dorm ""Top Bunk #2"" at Sharky's Hostel",746673,BonPaul,,28806,35.57895,-82.59566,Shared room,27,1,114,2024-04-14,1.05,8,190,10,
6765832,"Private Room ""Hitchcock"" BPS Hostel",746673,BonPaul,,28806,35.57895,-82.59566,Private room,65,1,93,2024-05-27,0.85,8,185,17,
6813265,cozy bedroom in the heart of west asheville,31436003,Lee,,28806,35.58204,-82.59371,Private room,61,1,173,2024-05-30,1.58,2,362,9,
6818139,Downtown Asheville Music Lovers- Great Value! -#8,7625694,John,,28801,35.5913,-82.54965,Private room,80,1,384,2024-06-05,3.50,8,0,22,
6829875,"Cozy Studio - Near DWNTN, Biltmore Village, BRP",35778919,Cara And Eric,,28805,35.58774,-82.48908,Entire home/apt,90,2,178,2024-06-10,1.63,1,62,29,
6913630,Sparrow Cottage,30982884,Tena,,28801,35.60526,-82.55982,Entire home/apt,65,28,148,2023-12-01,1.37,1,194,4,
6970329,Spacious Biltmore Getaway near downtown,36535942,Erik And Lisa,,28803,35.56649398803711,-82.5246353149414,Entire home/apt,125,2,142,2024-06-09,1.32,1,329,25,
7001873,Wren's Nest Studio near River Arts,11298793,Miriam,,28806,35.59496,-82.5886,Entire home/apt,,730,465,2023-12-01,4.25,1,291,21,
7045303,Private Basement Suite in Walkable West Asheville,6676667,Elizabeth,,28806,35.5775,-82.60328,Private room,99,2,117,2023-11-05,1.08,1,364,4,
7063293,"Cozy, Mountaintop Log Cabin w/Epic Views",14480896,Birgit,,28704,35.48019,-82.50757,Entire home/apt,350,3,48,2024-06-16,0.75,3,199,9,
7367841,Private-Jacuzzi tub-Peaceful-Explore!,38605852,Hillary,,28803,35.54087,-82.51327,Private room,,1,283,2024-05-06,2.64,1,0,32,
7418991,"""Studio C"" Downtown and Private parking!",23092470,April,,28801,35.591670989990234,-82.55351257324219,Entire home/apt,130,1,954,2024-06-14,8.80,4,263,96,
7427374,Hickory Street Home,25912360,Lucy,,28804,35.62758,-82.57445,Private room,70,2,50,2023-10-09,0.53,1,89,2,
7438838,"Historic home, walk downtown, porch, deck, dogs ok",21313437,Ron + Helen,,28801,35.60604,-82.55859,Entire home/apt,195,4,41,2024-04-21,0.39,2,90,7,
7630648,NEW! Sunny Modern Country Apartment with Hot Tub,40029182,Matthew,,28805,35.64308,-82.48054,Entire home/apt,129,3,344,2023-11-25,3.20,3,86,4,
7665386,Location! On West Asheville Strip. Walk everywhere,40234911,Sage,,28806,35.57959,-82.59503,Entire home/apt,77,3,466,2024-06-16,4.34,3,148,61,
7859259,Studio at Green Oaks Community,481489,Valerie,,28804,35.63074,-82.58481,Entire home/apt,100,28,106,2023-11-01,0.99,2,176,2,
7887572,Charming Bungalow Apartment - Biltmore Area,15691039,Rahm,,28803,35.56688,-82.53192,Entire home/apt,85,2,259,2024-06-09,3.64,1,255,23,
7938930,SweetPineHouse monthly rental fully outfitted!,12516488,Trish & Steph,,28803,35.57507,-82.53656,Entire home/apt,62,30,8,2024-04-05,0.07,1,228,1,
7947839,Romantic & Bohemian Private Studio,41909545,Christal,,28801,35.60133,-82.5548,Entire home/apt,101,1,793,2024-06-06,7.43,1,268,68,
7967886,"Clean, Comfortable, Modern Apartment - 30 day min",31173521,Leon And Stella,,28803,35.58063,-82.53814,Entire home/apt,75,30,19,2024-04-12,0.18,1,87,2,
8070733,Mountain Modern ‘Home away from Home’,42628649,Jacqueline & Savannah,,28805,35.58147,-82.49864,Entire home/apt,285,2,10,2023-08-01,0.36,1,293,1,
8089299,Simple Clean and restful,637074,Johanna,,28805,35.58742,-82.50093,Private room,60,30,22,2023-10-08,0.21,4,293,1,
8133377,Montford Manor-Home Away From Home / Near downtown,26447450,E. Patrick & Stephen,,28801,35.59785461425781,-82.55611419677734,Entire home/apt,500,2,202,2024-06-16,1.90,1,251,26,
8193368,Cozy AVL Suite Near Everything,36614639,Kambra,,28805,35.59852,-82.5026,Entire home/apt,104,2,431,2024-06-18,4.03,1,232,34,
8211404,Cabin in Asheville Views HOT TUB nr Biltmore.,41727732,Suzanne,,28803,35.48927,-82.51322,Entire home/apt,219,4,43,2024-04-01,0.45,2,180,17,
8246075,1925 Bungalow in the Heart of West,6077075,Kimberly,,28806,35.57479,-82.59679,Private room,120,2,59,2024-05-26,0.55,1,118,2,
8265544,5 Star Near Downtown & Biltmore,43536753,Tracy And Brent,,28806,35.54047,-82.6007,Entire home/apt,259,1,404,2024-05-12,3.81,1,224,10,
8266788,5 Minutes to Downtown/ 2 Minutes to Biltmore,1686503,Robert,,28803,35.57536,-82.54331,Entire home/apt,355,3,54,2024-05-27,0.51,1,165,5,
8310318,Studio apartment in tranquil setting,1292070,Annie,,28805,35.59645,-82.50817,Entire home/apt,68,30,7,2023-07-15,0.07,3,94,1,
8362668,"Private floor, stroll to W. AVL",23163164,David,,28806,35.57427,-82.59962,Entire home/apt,89,1,590,2024-05-28,5.53,1,174,34,
8443279,Walk to Downtown! The Cottage-Dogs Stay Free,18376463,Mike & Tom,,28801,35.61028728179115,-82.55307475787447,Entire home/apt,148,2,306,2024-06-17,2.90,1,303,59,
8513468,Charming home near UNCA/Downtown,30899500,Daniel,,28804,35.6192,-82.56143,Entire home/apt,80,30,201,2023-03-17,1.90,1,332,0,
8593492,Cabin 400 sq all for  you.,45217605,Gathai,,28732,35.4411,-82.5219,Private room,371,2,56,2021-02-14,0.54,2,365,0,
8624659,Modern Downtown Loft,42676282,Amanda,,28801,35.59507,-82.55376,Entire home/apt,200,2,486,2024-06-15,4.62,3,279,65,
8634354,VERY Comfortable Montford Apt. — Walk Downtown,45401193,Lisa,,28801,35.597930908203125,-82.56584930419922,Entire home/apt,141,2,287,2024-06-03,2.71,1,332,16,
8664712,Two Block Walk from Apt to Downtown,45522770,Frank-Peter,,28801,35.59874,-82.56017,Entire home/apt,250,2,205,2024-05-27,1.94,1,244,25,
8741844,"Lake view, Children-Friendly Cabins",45860533,Rumi,,28704,35.46271,-82.55327,Entire home/apt,204,3,8,2024-01-02,0.16,1,343,3,
8782463,Apartment 1 mile from  Downtown Asheville,11246730,Damon,,28801,35.60513,-82.54339,Entire home/apt,84,1,820,2024-06-16,7.76,1,283,84,
8867635,Bluebirds Nest 10 Min to AVL Biltmore hottub bkfst,46416011,Bet,,28806,35.63837,-82.61978,Entire home/apt,165,2,16,2024-05-27,0.21,2,283,1,
8895397,Short walk to WAVL.,2661590,Kelly,,28806,35.58176,-82.59214,Entire home/apt,175,2,130,2024-06-14,1.23,1,330,16,
9022608,Easy Walk Downtown - Sleeps 5,34263964,Angie,,28801,35.60593,-82.55233,Entire home/apt,,1,626,2024-05-27,5.99,2,0,37,
9182448,Happy Haven: room w/ hottub and Gym in West,47777952,Mary,,28806,35.57555,-82.60159,Private room,90,1,53,2024-03-17,0.59,2,81,1,
